NODE_ID,X,Y,Z,HF_X,HF_Y,HF_Z
    67246.,  0.450000,  0.039131,  0.093424,  0.134750,  0.347268, 25.283861
    67248.,  0.450000,  0.058697,  0.093261,  0.144744,  0.528033, 25.293181
    67250.,  0.450000,  0.078262,  0.093098,  0.159328,  0.717608, 25.306056
    67252.,  0.450000,  0.097828,  0.092935,  0.179141,  0.919308, 25.322602
    67254.,  0.450000,  0.117391,  0.092772,  0.205071,  1.136769, 25.342921
    67256.,  0.450000,  0.136957,  0.092609,  0.238338,  1.374126, 25.367081
    67258.,  0.450000,  0.156522,  0.092446,  0.280571,  1.636043, 25.395031
    67260.,  0.450000,  0.176088,  0.092283,  0.333949,  1.927943, 25.426507
    67262.,  0.450000,  0.195653,  0.092120,  0.401397,  2.256207, 25.460848
    67264.,  0.450000,  0.215219,  0.091957,  0.486866,  2.628443, 25.496691
    67266.,  0.450000,  0.234783,  0.091793,  0.595737,  3.053854, 25.531459
    67268.,  0.450000,  0.254348,  0.091630,  0.735510,  3.544003, 25.560515
    67270.,  0.450000,  0.273914,  0.091467,  0.916761,  4.113668, 25.575686
    67272.,  0.450000,  0.293479,  0.091304,  1.154867,  4.782958, 25.562847
    67274.,  0.450000,  0.313045,  0.091141,  1.472948,  5.581303, 25.497792
    67276.,  0.450000,  0.332610,  0.090978,  1.907390,  6.555306, 25.339680
    67278.,  0.450000,  0.352174,  0.090815,  2.517993,  7.786118, 25.019274
    67280.,  0.450000,  0.371740,  0.090652,  3.411324,  9.418846, 24.421947
    67282.,  0.450000,  0.391305,  0.090489,  4.772536, 11.732186, 23.340593
    67284.,  0.450000,  0.410871,  0.090326,  7.041029, 15.217786, 21.376031
    67286.,  0.450000,  0.430436,  0.090163, 10.513125, 20.200788, 17.708541
    67311.,  0.450000,  0.019565,  0.112391,  0.130871,  0.174774, 25.156679
    67313.,  0.450000,  0.039131,  0.112283,  0.136787,  0.352399, 25.160172
    67315.,  0.450000,  0.058696,  0.112174,  0.146923,  0.535823, 25.165670
    67317.,  0.450000,  0.078262,  0.112065,  0.161708,  0.728136, 25.173221
    67319.,  0.450000,  0.097827,  0.111957,  0.181782,  0.932651, 25.182869
    67321.,  0.450000,  0.117391,  0.111848,  0.208035,  1.152982, 25.194635
    67323.,  0.450000,  0.136957,  0.111739,  0.241681,  1.393179, 25.208491
    67325.,  0.450000,  0.156522,  0.111630,  0.284334,  1.657760, 25.224294
    67327.,  0.450000,  0.176088,  0.111522,  0.338136,  1.951872, 25.241699
    67329.,  0.450000,  0.195653,  0.111413,  0.405928,  2.281394, 25.259993
    67331.,  0.450000,  0.215218,  0.111304,  0.491497,  2.653052, 25.277809
    67333.,  0.450000,  0.234783,  0.111196,  0.599899,  3.074523, 25.292627
    67335.,  0.450000,  0.254348,  0.111087,  0.737982,  3.554646, 25.299868
    67337.,  0.450000,  0.273914,  0.110978,  0.915054,  4.103455, 25.291241
    67339.,  0.450000,  0.293479,  0.110870,  1.143985,  4.732660, 25.251679
    67341.,  0.450000,  0.313044,  0.110761,  1.442919,  5.456824, 25.153699
    67343.,  0.450000,  0.332610,  0.110652,  1.838365,  6.296552, 24.946958
    67345.,  0.450000,  0.352174,  0.110543,  2.370665,  7.288204, 24.541104
    67347.,  0.450000,  0.371739,  0.110435,  3.108402,  8.504006, 23.775869
    67349.,  0.450000,  0.391305,  0.110326,  4.166322, 10.106315, 22.404703
    67351.,  0.450000,  0.410870,  0.110217,  5.835170, 12.396333, 20.052367
    67353.,  0.450000,  0.430436,  0.110109,  8.314464, 15.683119, 16.544247
    67378.,  0.450000,  0.019565,  0.131196,  0.131802,  0.175973, 25.034079
    67380.,  0.450000,  0.039131,  0.131141,  0.137758,  0.354817, 25.035189
    67382.,  0.450000,  0.058696,  0.131087,  0.147959,  0.539486, 25.036864
    67384.,  0.450000,  0.078261,  0.131033,  0.162834,  0.733066, 25.039106
    67386.,  0.450000,  0.097827,  0.130978,  0.183023,  0.938859, 25.041906
    67388.,  0.450000,  0.117391,  0.130924,  0.209415,  1.160450, 25.045233
    67390.,  0.450000,  0.136957,  0.130870,  0.243214,  1.401813, 25.049014
    67392.,  0.450000,  0.156522,  0.130815,  0.286017,  1.667348, 25.053095
    67394.,  0.450000,  0.176087,  0.130761,  0.339932,  1.961981, 25.057194
    67396.,  0.450000,  0.195653,  0.130707,  0.407732,  2.291194, 25.060787
    67398.,  0.450000,  0.215218,  0.130652,  0.493062,  2.661011, 25.062930
    67400.,  0.450000,  0.234783,  0.130598,  0.600708,  3.077852, 25.061916
    67402.,  0.450000,  0.254348,  0.130543,  0.736959,  3.548203, 25.054617
    67404.,  0.450000,  0.273913,  0.130489,  0.909995,  4.077759, 25.035186
    67406.,  0.450000,  0.293479,  0.130435,  1.130344,  4.669922, 24.992409
    67408.,  0.450000,  0.313044,  0.130380,  1.411192,  5.323222, 24.904272
    67410.,  0.450000,  0.332609,  0.130326,  1.768505,  6.027329, 24.726422
    67412.,  0.450000,  0.352174,  0.130272,  2.220329,  6.761082, 24.370546
    67414.,  0.450000,  0.371739,  0.130217,  2.789837,  7.496369, 23.657035
    67416.,  0.450000,  0.391305,  0.130163,  3.509733,  8.267968, 22.282814
    67418.,  0.450000,  0.410870,  0.130109,  4.544691,  9.313385, 19.670396
    67420.,  0.450000,  0.430435,  0.130054,  6.203782, 11.792209, 16.116657
    67445.,  0.450000,  0.019566,  0.000000,  0.104611,  0.140016, 25.831165
    67447.,  0.450000,  0.039132,  0.000000,  0.109377,  0.282426, 25.846277
    67449.,  0.450000,  0.058698,  0.000000,  0.117552,  0.429689, 25.871695
    67451.,  0.450000,  0.078264,  0.000000,  0.129497,  0.584435, 25.907859
    67453.,  0.450000,  0.097830,  0.000000,  0.145760,  0.749544, 25.955400
    67455.,  0.450000,  0.117392,  0.000000,  0.167107,  0.928242, 26.015179
    67457.,  0.450000,  0.136958,  0.000000,  0.194617,  1.124387, 26.088305
    67459.,  0.450000,  0.156523,  0.000000,  0.229747,  1.342453, 26.176187
